Latitude,Longitude,X Coordinate,Y Coordinate,Location
41.83221372,-87.62179128,1178164,1882252,"(41.83221372, -87.62179128)"
41.83645091,-87.64705352,1171267,1883740,"(41.836450905, -87.647053516)"
41.89364913,-87.71412514,1152839,1904444,"(41.893649131, -87.714125144)"
41.9451251,-87.65669249,1168328,1923320,"(41.945125096, -87.656692494)"
41.89370261,-87.76535022,1138892,1904367,"(41.893702612, -87.765350219)"
41.78337996,-87.64532448,1171893,1864405,"(41.783379963, -87.645324477)"
41.99117046,-87.67708402,1162652,1940056,"(41.991170462, -87.677084024)"
41.87916593,-87.65039355,1170233,1899298,"(41.879165929, -87.650393551)"
41.79165866,-87.66329244,1166969,1867383,"(41.791658657, -87.663292443)"
41.8674853,-87.6566968,1168550,1895028,"(41.867485302, -87.656696797)"
41.91318131,-87.79733603,1130139,1911409,"(41.913181308, -87.797336032)"
41.92595513,-87.64396744,1171846,1916362,"(41.92595513, -87.643967441)"
41.65845334,-87.64399536,1172620,1818886,"(41.658453336, -87.643995358)"
41.85737893,-87.62718375,1176619,1891410,"(41.857378926, -87.627183753)"
41.9357577,-87.76639956,1138505,1919690,"(41.935757702, -87.766399556)"
42.0101403,-87.68273958,1161062,1946957,"(42.010140304, -87.682739576)"
41.74801891,-87.65488554,1169387,1851499,"(41.748018907, -87.654885535)"
41.97110588,-87.78675644,1132884,1932535,"(41.971105882, -87.786756436)"
41.67715727,-87.63827573,1174128,1825714,"(41.67715727, -87.638275726)"
41.92302613,-87.69754821,1157273,1915182,"(41.923026132, -87.697548209)"
41.71332329,-87.67053447,1165214,1838823,"(41.713323294, -87.67053447)"
41.88163353,-87.72569838,1149719,1900043,"(41.88163353, -87.725698375)"
41.79349129,-87.79405482,1131306,1867800,"(41.793491288, -87.794054824)"
41.75307509,-87.6635033,1167021,1853323,"(41.753075085, -87.663503303)"
41.79096639,-87.70593219,1155343,1867043,"(41.790966386, -87.705932192)"
41.89462561,-87.70896994,1154240,1904810,"(41.89462561, -87.708969942)"
41.94671924,-87.69203056,1158710,1923827,"(41.946719237, -87.692030559)"
41.88109274,-87.6367457,1173944,1900030,"(41.881092742, -87.636745703)"
41.93054576,-87.7449948,1144342,1917830,"(41.93054576, -87.744994797)"
41.88085832,-87.65954852,1167735,1899895,"(41.880858321, -87.659548518)"
41.92222395,-87.68755784,1159994,1914910,"(41.92222395, -87.687557839)"
41.84735494,-87.6953178,1158085,1887612,"(41.847354937, -87.695317795)"
41.93181952,-87.79427304,1130930,1918206,"(41.931819516, -87.794273043)"
41.83916419,-87.65709798,1168522,1884707,"(41.839164185, -87.657097984)"
41.89785015,-87.71150971,1153540,1905980,"(41.897850152, -87.711509711)"
41.73936574,-87.60247068,1183717,1848463,"(41.739365739, -87.60247068)"
41.73039228,-87.65862835,1168416,1845068,"(41.73039228, -87.658628348)"
41.8166265,-87.63119369,1175648,1876551,"(41.816626502, -87.631193687)"
41.73120404,-87.65806665,1168567,1845365,"(41.731204042, -87.65806665)"
41.89597873,-87.74433147,1144609,1905235,"(41.895978731, -87.744331472)"
41.71184573,-87.55321072,1197252,1838553,"(41.711845727, -87.553210719)"
41.95474462,-87.71783915,1151668,1926700,"(41.954744622, -87.717839147)"
41.80857327,-87.60278496,1183417,1873681,"(41.808573273, -87.602784958)"
41.80307726,-87.67127542,1164760,1871527,"(41.803077257, -87.671275415)"
41.88580529,-87.68029344,1162072,1901654,"(41.885805288, -87.680293441)"
41.77731755,-87.80018096,1129672,1861896,"(41.77731755, -87.800180964)"
